movie_name,biehn_scale_rating,biehn_yes_or_no,budget,revenue,runtime,tmdb_vote_average,tmdb_vote_count,imdb_rating,imdb_votes,year,rt_critic_score,metascore,rt_audience_score,primary_genre_Comedy,primary_genre_Crime,primary_genre_Action,primary_genre_Drama,primary_genre_Adventure,primary_genre_Documentary,primary_genre_Family,primary_genre_Western,primary_genre_Horror,primary_genre_Mystery,primary_genre_Thriller,primary_genre_War,primary_genre_Science Fiction,primary_genre_Music,primary_genre_Animation,primary_genre_nan,primary_genre_Fantasy,secondary_genre_nan,secondary_genre_Drama,secondary_genre_Adventure,secondary_genre_Science Fiction,secondary_genre_Action,secondary_genre_Family,secondary_genre_History,secondary_genre_Animation,secondary_genre_Crime,secondary_genre_Thriller,secondary_genre_Horror,secondary_genre_Fantasy,secondary_genre_Mystery,secondary_genre_Comedy,secondary_genre_Romance,secondary_genre_Music,movie_age
Zoolander 2,7.0,1,50000000,55969000,100,4.8,1788,4.7,67478.0,2016.0,22,34.0,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Dope,8.5,1,700000,17986781,103,7.1,1190,7.2,83142.0,2015.0,88,72.0,83.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
The Big Short,8.0,1,28000000,133346506,131,7.3,7026,7.8,395829.0,2015.0,89,81.0,88.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
Deadpool,10.0,1,58000000,783100000,108,7.6,25805,8.0,960086.0,2016.0,85,65.0,90.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
The Martian,8.0,1,108000000,630161890,144,7.7,16305,8.0,803733.0,2015.0,91,80.0,91.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
Hardcore Henry,7.5,1,10000000,14333790,97,6.3,1815,6.7,91839.0,2015.0,51,51.0,54.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
San Andreas,4.0,0,110000000,473990832,114,6.2,6890,6.1,226202.0,2015.0,49,43.0,52.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
Terminator,10.0,0,200000000,371353001,115,6.0,5137,6.5,352551.0,2009.0,33,49.0,59.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.0
Captain America: Civil War,8.0,1,250000000,1153296293,147,7.4,18880,7.8,718368.0,2016.0,90,75.0,89.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0
All the Way,9.5,1,60000000,129832389,89,5.9,1924,5.6,97279.0,1996.0,17,34.0,59.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25.0
The Man from U.N.C.L.E.,7.5,1,75000000,108145109,116,7.1,5029,7.3,292999.0,2015.0,68,56.0,73.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.0
Chef,9.0,1,11000000,45967935,114,7.1,2544,7.3,207404.0,2014.0,87,68.0,59.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
Independence Day: Resurgence,3.0,1,165000000,389681935,120,5.2,5066,5.2,173742.0,2016.0,30,32.0,30.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Suicide Squad,4.0,1,180000000,167381210,132,7.8,4833,7.3,251448.0,2021.0,59,72.0,59.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Steve Jobs,7.5,1,30000000,34441873,122,6.8,3467,7.2,163512.0,2015.0,85,82.0,73.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.0
Tickled,8.0,1,0,923000,92,7.3,300,7.5,17763.0,2016.0,94,76.0,86.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Arrival,8.5,1,47000000,203388186,116,7.6,14415,7.9,647616.0,2016.0,94,81.0,82.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0
The Jungle Book,9.5,1,4000000,205843612,78,7.3,5056,7.6,173954.0,1967.0,88,65.0,59.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,54.0
Why Him,8.0,1,38000000,118102725,111,6.3,3408,6.2,107259.0,2016.0,39,39.0,51.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Office Christmas Party,7.0,1,45000000,114501299,105,5.6,1649,5.9,73957.0,2016.0,41,42.0,40.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Assassin's Creed,1.5,0,125000000,240697856,115,5.4,6571,5.7,193301.0,2016.0,18,36.0,42.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Sing,6.0,1,75000000,634151679,108,7.1,6310,7.1,144723.0,2016.0,71,59.0,72.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0
Hell or High Water,7.0,1,12000000,37589296,102,7.3,3523,7.6,216534.0,2016.0,96,88.0,88.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.0
Logan,9.0,1,97000000,619021436,137,7.8,16235,8.1,697494.0,2017.0,94,77.0,90.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Alien: Covenant,8.0,1,97000000,232380243,122,6.0,6779,6.4,268105.0,2017.0,65,65.0,55.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Spider-Man: Homecoming,7.0,1,175000000,880166924,133,7.4,17178,7.4,564668.0,2017.0,92,73.0,87.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
The Belko Experiment,7.0,1,5000000,10166820,89,6.1,1088,6.1,48477.0,2016.0,54,44.0,40.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0
"Guardians of the Galaxy, Vol. 2",4.5,0,200000000,863756051,137,7.6,17421,7.6,619573.0,2017.0,85,67.0,87.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0
Get Out,9.5,1,4500000,255407969,104,7.6,13470,7.7,538663.0,2017.0,98,85.0,86.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.0
Don't Breathe,8.0,1,10000000,45000000,98,7.6,1184,6.1,35200.0,2021.0,59,46.0,59.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Hannah,8.5,1,35000000,155545279,102,6.6,1670,4.6,41413.0,2009.0,43,47.0,59.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0
Dunkirk,8.5,1,100000000,527000000,107,7.5,13437,7.8,604626.0,2017.0,92,94.0,81.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0
Fantastic Beasts and Where to Find Them,7.0,1,180000000,809342332,132,7.4,15816,7.3,432424.0,2016.0,74,66.0,79.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0
Life,3.0,0,120000000,363258859,95,7.0,7302,7.2,279569.0,1998.0,92,77.0,59.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23.0
Imperium,7.0,1,0,35000,109,6.5,1032,6.5,44564.0,2016.0,85,68.0,64.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Death Note,0.5,0,40000000,0,101,4.2,3350,4.4,81514.0,2017.0,38,43.0,23.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Little Evil,7.0,1,0,0,94,5.6,742,5.7,20501.0,2017.0,92,50.0,48.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0
Gerald's Game,7.5,1,0,0,104,6.4,2824,6.5,100700.0,2017.0,91,77.0,70.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.0
The Meyerowitz Stories,6.0,0,0,0,112,6.4,896,6.9,46391.0,2017.0,93,79.0,72.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
The Mist,7.0,1,18000000,57096190,126,6.8,3717,7.1,293658.0,2007.0,72,58.0,65.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14.0
Swingers,7.0,1,200000,4505922,96,7.0,533,7.2,80052.0,1996.0,87,71.0,59.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
Schindler's List,8.0,1,22000000,321365567,195,8.6,12060,8.9,1277636.0,1993.0,98,94.0,97.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28.0
The Darkest Hour,7.5,1,30000000,64626786,89,5.3,1132,4.9,60085.0,2011.0,12,18.0,25.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.0
Three Billboards Outside Ebbing Missouri,6.5,0,15000000,160192031,115,8.1,8148,8.1,471825.0,2017.0,90,88.0,87.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Ladybird,5.0,1,0,0,101,7.3,59,7.4,3439.0,1994.0,75,50.0,85.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0
Futile and Stupid Gesture,7.5,1,10000000,0,101,6.5,252,6.8,15118.0,2018.0,67,55.0,71.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
The Cloverfield Paradox,2.0,0,45000000,0,102,5.6,2546,5.5,100914.0,2018.0,21,37.0,42.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Black Panther,7.5,1,200000000,1346739107,134,7.4,18200,7.3,687160.0,2018.0,96,88.0,79.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Ready Player One,7.5,1,175000000,582890172,140,7.6,12199,7.4,403432.0,2018.0,72,64.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
A Quiet Place,9.0,1,61000000,297372261,97,7.7,3358,7.3,175490.0,2020.0,91,71.0,59.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
Avengers: Infinity War,8.0,1,300000000,2046239637,149,8.3,23138,8.4,943024.0,2018.0,85,68.0,91.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
The Disaster Artist,9.5,1,10000000,29820616,104,7.1,2923,7.3,146541.0,2017.0,91,76.0,85.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Annihilation,3.0,0,40000000,43070915,115,6.4,6819,6.8,301802.0,2018.0,88,79.0,66.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0
Sicario Day of the Soldado ,5.0,1,35000000,75836683,122,6.9,2547,7.1,137984.0,2018.0,62,61.0,65.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.0
Mission Impossible: Fallout,9.0,1,178000000,791017452,147,7.4,6236,7.7,310968.0,2018.0,97,86.0,88.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
It Comes at Night,8.5,1,5000000,19280931,91,5.8,1841,6.2,89593.0,2017.0,87,78.0,44.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0
Hush,7.0,1,0,0,82,7.3,572,6.9,16710.0,2019.0,88,50.0,59.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0
